时间,振幅,总手,金额,换手率,成交次数,,,,
"2018-11-23,五",0.0184 ,2012621 ,1126652920 ,0.16,3240 ,,,,
"2018-11-26,一",0.0147 ,1912019 ,1063536980 ,0.15,3271 ,,,,
"2018-11-27,二",0.0154 ,2023382 ,1112920630 ,0.16,3368 ,,,,
"2018-11-28,三",0.0250 ,2773793 ,1535544400 ,0.22,3850 ,,,,
"2018-11-29,四",0.0373 ,4506945 ,2524752300 ,0.36,4008 ,,,,
"2018-11-30,五",0.0288 ,4901046 ,2762808200 ,0.39,4216 ,,,,
"2018-12-03,一",0.0358 ,8341468 ,4964130100 ,0.66,4537 ,,,,
"2018-12-04,二",0.0154 ,3147388 ,1888148700 ,0.25,3908 ,,,,
"2018-12-05,三",0.0357 ,4158819 ,2523641800 ,0.33,4066 ,,,,
"2018-12-06,四",0.0256 ,3775807 ,2250440700 ,0.3,3998 ,,,,  
"2018-12-07,五",0.0239 ,2684167 ,1583970300 ,0.21,3734 ,,,,
"2018-12-10,一",0.0227 ,2464068 ,1427993200 ,0.2,3746 ,,,,
"2018-12-11,二",0.0165 ,1631660 ,949962160 ,0.13,3014 ,,,,
"2018-12-12,三",0.0110 ,1992154 ,1168089520 ,0.16,3377 ,,,,
"2018-12-13,四",0.0293 ,4039941 ,2427823200 ,0.32,4346 ,,,,
"2018-12-14,五",0.0130 ,2455448 ,1461585100 ,0.2,3626 ,,,,
"2018-12-17,一",0.0185 ,2489585 ,1466943000 ,0.2,3687 ,,,,
"2018-12-18,二",0.0111 ,1922218 ,1130221290 ,0.15,3496 ,,,,
"2018-12-19,三",0.0253 ,2571596 ,1501321300 ,0.2,3766 ,,,,
"2018-12-20,四",0.0218 ,2694098 ,1549600800 ,0.21,3819 ,,,,
"2018-12-21,五",0.0196 ,3064043 ,1736537300 ,0.24,3767 ,,,,
"2018-12-24,一",0.0228 ,1910986 ,1080787420 ,0.15,3209 ,,,,
"2018-12-25,二",0.0245 ,2659286 ,1490157600 ,0.21,3760 ,,,,
"2018-12-26,三",0.0184 ,1786620 ,1005617680 ,0.14,3294 ,,,,
"2018-12-27,四",0.0172 ,2949357 ,1670211300 ,0.23,3794 ,,,,
"2018-12-28,五",0.0647 ,6367837 ,3705150500 ,0.51,4335 ,,,,
"2019-01-02,三",0.0288 ,6228649 ,3754388000 ,0.5,4135 ,,,,
"2019-01-03,四",0.0265 ,3097735 ,1838179200 ,0.25,3855 ,,,,
"2019-01-04,五",0.0435 ,3768347 ,2258501500 ,0.3,4319 ,,,,
"2019-01-07,一",0.0162 ,3475013 ,2105981500 ,0.28,3980 ,,,,
"2019-01-08,二",0.0194 ,2883813 ,1750413200 ,0.23,3718 ,,,,
"2019-01-09,三",0.0283 ,4989227 ,3084214800 ,0.4,4235 ,,,,
"2019-01-10,四",0.0237 ,2904390 ,1797683100 ,0.23,3690 ,,,,
"2019-01-11,五",0.0295 ,3888421 ,2445929500 ,0.31,3878 ,,,,
"2019-01-14,一",0.0226 ,2564890 ,1606308100 ,0.2,3628 ,,,,
"2019-01-15,二",0.0584 ,5576485 ,3613919100 ,0.44,4280 ,,,,
"2019-01-16,三",0.0183 ,4208364 ,2775103900 ,0.34,4076 ,,,,
"2019-01-17,四",0.0210 ,3028476 ,2004454100 ,0.24,3848 ,,,,
"2019-01-18,五",0.0435 ,6860918 ,4647515800 ,0.55,4450 ,,,,
"2019-01-21,一",0.0249 ,4705193 ,3242615700 ,0.37,4142 ,,,,
"2019-01-22,二",0.0302 ,4212221 ,2834735000 ,0.34,4257 ,,,,
"2019-01-23,三",0.0169 ,3362481 ,2247371200 ,0.27,3633 ,,,,
"2019-01-24,四",0.0198 ,2915527 ,1960227100 ,0.23,3895 ,,,,
"2019-01-25,五",0.0223 ,2898635 ,1966232100 ,0.23,3789 ,,,,
"2019-01-28,一",0.0264 ,3610287 ,2476278000 ,0.29,4019 ,,,,
"2019-01-29,二",0.0295 ,3034259 ,2069407500 ,0.24,3607 ,,,,
"2019-01-30,三",0.0149 ,2269996 ,1545353600 ,0.18,3540 ,,,,
"2019-01-31,四",0.0178 ,3669657 ,2515375000 ,0.29,4028 ,,,,
"2019-02-01,五",0.0136 ,3052062 ,2121326100 ,0.24,3767 ,,,,
"2019-02-11,一",0.0597 ,5814075 ,4143849800 ,0.46,4418 ,,,,
"2019-02-12,二",0.0142 ,3509143 ,2521840100 ,0.28,4169 ,,,,
"2019-02-13,三",0.0264 ,3567706 ,2589623500 ,0.28,3986 ,,,,
"2019-02-14,四",0.0184 ,3225813 ,2375987100 ,0.26,4069 ,,,,
"2019-02-15,五",0.0161 ,2323798 ,1691515500 ,0.18,3703 ,,,,
"2019-02-18,一",0.0192 ,3774589 ,2787523000 ,0.3,3971 ,,,,
"2019-02-19,二",0.0214 ,2950150 ,2164408800 ,0.23,3804 ,,,,
"2019-02-20,三",0.0259 ,3788237 ,2742919600 ,0.3,4175 ,,,,
"2019-02-21,四",0.0187 ,2985040 ,2163554300 ,0.24,3869 ,,,,
"2019-02-22,五",0.0200 ,2590877 ,1867253900 ,0.21,3659 ,,,,
"2019-02-25,一",0.0364 ,8262259 ,6034261400 ,0.66,4433 ,,,,
"2019-02-26,二",0.0312 ,5796466 ,4265279100 ,0.46,4236 ,,,,
"2019-02-27,三",0.0371 ,6594227 ,4908445100 ,0.52,4393 ,,,,
"2019-02-28,四",0.0357 ,5698625 ,4289145200 ,0.45,4464 ,,,,
"2019-03-01,五",0.0384 ,6384023 ,4952509200 ,0.51,4161 ,,,,
"2019-03-04,一",0.0267 ,8458596 ,6661386600 ,0.67,4535 ,,,,
"2019-03-05,二",0.0175 ,4483056 ,3501155900 ,0.36,4098 ,,,,
"2019-03-06,三",0.0175 ,4673137 ,3602140500 ,0.37,4284 ,,,,
"2019-03-07,四",0.0217 ,6018053 ,4526351900 ,0.48,4381 ,,,,
"2019-03-08,五",0.0176 ,5227525 ,3868415500 ,0.42,4295 ,,,,
"2019-03-11,一",0.0365 ,5305724 ,4001728700 ,0.42,4210 ,,,,
"2019-03-12,二",0.0327 ,5251001 ,3946382100 ,0.42,4226 ,,,,
"2019-03-13,三",0.0205 ,4056136 ,3058080900 ,0.32,3981 ,,,,
"2019-03-14,四",0.0411 ,6217256 ,4808607700 ,0.49,4345 ,,,,
"2019-03-15,五",0.0291 ,5240071 ,4084798300 ,0.42,4244 ,,,,
"2019-03-18,一",0.0483 ,8131880 ,6499567000 ,0.65,4387 ,,,,
"2019-03-19,二",0.0193 ,4063493 ,3244967400 ,0.32,4029 ,,,,
"2019-03-20,三",0.0218 ,3111752 ,2470811100 ,0.25,3717 ,,,,
"2019-03-21,四",0.0143 ,3257328 ,2558222900 ,0.26,3608 ,,,,
"2019-03-22,五",0.0191 ,3051750 ,2420497800 ,0.24,3825 ,,,,
"2019-03-25,一",0.0185 ,3727046 ,2903744200 ,0.3,3936 ,,,,
"2019-03-26,二",0.0282 ,3759569 ,2914113000 ,0.3,4024 ,,,,
"2019-03-27,三",0.0244 ,4280739 ,3366132200 ,0.34,4125 ,,,,
"2019-03-28,四",0.0365 ,5756676 ,4615969700 ,0.46,4419 ,,,,
"2019-03-29,五",0.0453 ,9093396 ,7702154800 ,0.72,4601 ,,,,
"2019-04-01,一",0.0210 ,6093461 ,5228522000 ,0.49,4556 ,,,,
"2019-04-02,二",0.0279 ,5322705 ,4496538800 ,0.42,4421 ,,,,
"2019-04-03,三",0.0206 ,4305680 ,3629854300 ,0.34,4353 ,,,,
"2019-04-04,四",0.0351 ,5577236 ,4763897900 ,0.44,4441 ,,,,
"2019-04-08,一",0.0207 ,6625193 ,5944780600 ,0.53,4439 ,,,,
"2019-04-09,二",0.0174 ,4798980 ,4308645700 ,0.38,4192 ,,,,
"2019-04-10,三",0.0573 ,6781438 ,6331858700 ,0.54,4368 ,,,,
"2019-04-11,四",0.0469 ,6110254 ,5643817600 ,0.49,4482 ,,,,
"2019-04-12,五",0.0216 ,4861217 ,4419350000 ,0.39,4395 ,,,,
"2019-04-15,一",0.0350 ,4552264 ,4205548300 ,0.36,4224 ,,,,
"2019-04-16,二",0.0426 ,4642344 ,4297385200 ,0.37,4149 ,,,,
"2019-04-17,三",0.0325 ,4076102 ,3848216600 ,0.32,4162 ,,,,
"2019-04-18,四",0.0194 ,1959852 ,1853076100 ,0.16,3678 ,,,,
